"USERNAME","USER_ID","PASSWORD","ACCOUNT_STATUS","LOCK_DATE","EXPIRY_DATE","DEFAULT_TABLESPACE","TEMPORARY_TABLESPACE","CREATED","PROFILE","INITIAL_RSRC_CONSUMER_GROUP","EXTERNAL_NAME","PASSWORD_VERSIONS","EDITIONS_ENABLED","AUTHENTICATION_TYPE"
"SI_INFORMTN_SCHEMA",56,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"MDSYS",57,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"MDDATA",59,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"USERS","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"SPATIAL_CSW_ADMIN_USR",64,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"USERS","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"SYSMAN",66,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"MGMT_VIEW",68,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSTEM","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"FLOWS_FILES",69,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"APEX_PUBLIC_USER",70,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"USERS","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"APEX_030200",72,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"US",73,"","OPEN",,22-OCT-17,"USERS1","TEMP1",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"VI_1",74,"","OPEN",,22-OCT-17,"SPACE2","TEMPORARY1",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"VI_2",75,"","OPEN",,22-OCT-17,"SPACE2","TEMPORARY1",25-APR-17,"VI_PROFILE2","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
